,date,open,close,high,low,volume
0,2019-05-25,0.38286,0.3852,0.393,0.37941,74444217.1
1,2019-05-26,0.38526,0.40372,0.41368,0.373,96380922.0
2,2019-05-27,0.40364,0.43331,0.44645,0.399,198385219.3
3,2019-05-28,0.4334,0.44877,0.4611,0.4176,245797208.7
4,2019-05-29,0.44863,0.44307,0.45701,0.42,205712650.4
5,2019-05-30,0.44286,0.41789,0.4735,0.401,347536093.1
6,2019-05-31,0.41809,0.43851,0.4408,0.40614,193230057.5
7,2019-06-01,0.43849,0.42894,0.44169,0.41664,113888226.1
8,2019-06-02,0.42856,0.44396,0.44695,0.42735,102419845.2
9,2019-06-03,0.44396,0.41731,0.465,0.417,235501937.2
10,2019-06-04,0.41739,0.39878,0.41934,0.3836,220369532.7
11,2019-06-05,0.3989,0.4001,0.40597,0.3871,129307000.7
12,2019-06-06,0.39997,0.41937,0.427,0.39024,187115409.8
13,2019-06-07,0.41935,0.41886,0.43003,0.41389,121225704.2
14,2019-06-08,0.41871,0.40699,0.42222,0.4021,77326412.3
15,2019-06-09,0.40699,0.38527,0.41043,0.37,117296911.4
16,2019-06-10,0.38528,0.3999,0.40346,0.37985,111675278.5
17,2019-06-11,0.39985,0.39192,0.40195,0.38175,75361808.1
18,2019-06-12,0.39209,0.40074,0.402,0.38726,80803548.9
19,2019-06-13,0.40075,0.39876,0.40804,0.3942,76971683.5
20,2019-06-14,0.39872,0.40201,0.40364,0.39025,70743211.6
21,2019-06-15,0.40201,0.4095,0.41213,0.40052,144441080.7
22,2019-06-16,0.40949,0.42703,0.44098,0.40583,179818739.9
23,2019-06-17,0.42701,0.44705,0.46311,0.42181,310680509.3
24,2019-06-18,0.44705,0.42694,0.45499,0.41963,247437564.9
25,2019-06-19,0.42697,0.43406,0.43852,0.42369,95631659.5
26,2019-06-20,0.43426,0.42995,0.43592,0.4198,91377053.5
27,2019-06-21,0.42986,0.4425,0.45,0.42925,115252934.3
28,2019-06-22,0.44262,0.47729,0.50999,0.43752,348224018.7
29,2019-06-23,0.47714,0.47015,0.49298,0.465,162392192.9
30,2019-06-24,0.47015,0.47385,0.47585,0.45,116373926.2
31,2019-06-25,0.47391,0.46809,0.47654,0.455,156717428.9
32,2019-06-26,0.46809,0.46805,0.4968,0.453,287100067.5
33,2019-06-27,0.46773,0.41049,0.47176,0.3951,300234945.9
34,2019-06-28,0.41061,0.4261,0.4272,0.40582,139943710.4
35,2019-06-29,0.426,0.4262,0.43,0.40392,128452215.5
36,2019-06-30,0.42597,0.3962,0.42859,0.3954,118288754.1
37,2019-07-01,0.39637,0.40691,0.42298,0.38804,135870243.9
38,2019-07-02,0.40694,0.39794,0.41125,0.38386,105939905.9
39,2019-07-03,0.39787,0.40456,0.40666,0.3934,78793554.4
40,2019-07-04,0.40458,0.38723,0.4052,0.385,71298699.9
41,2019-07-05,0.38722,0.37881,0.38825,0.37325,71395559.6
42,2019-07-06,0.3787,0.39031,0.4099,0.37826,94972192.3
43,2019-07-07,0.39031,0.39651,0.4007,0.38683,65893195.7
44,2019-07-08,0.39651,0.40073,0.403,0.39114,68579169.6
45,2019-07-09,0.40072,0.39362,0.40725,0.38875,84918198.9
46,2019-07-10,0.39361,0.36154,0.39646,0.34502,140899188.0
47,2019-07-11,0.36141,0.32875,0.36285,0.31574,168118356.8
48,2019-07-12,0.32888,0.34336,0.34988,0.31968,126888778.0
49,2019-07-13,0.34336,0.33206,0.34439,0.32359,86057978.8
50,2019-07-14,0.33214,0.30366,0.33549,0.2992,132780312.2
51,2019-07-15,0.30366,0.31287,0.32376,0.29474,160631099.6
52,2019-07-16,0.31287,0.29543,0.32032,0.286,162767430.3
53,2019-07-17,0.29545,0.31032,0.32365,0.29264,159617507.6
54,2019-07-18,0.31032,0.32035,0.327,0.30257,129902403.6
55,2019-07-19,0.32035,0.3188,0.32215,0.30959,68682413.2
56,2019-07-20,0.3187,0.33279,0.34094,0.31818,84000903.4
57,2019-07-21,0.33269,0.33075,0.33501,0.32053,64040258.2
58,2019-07-22,0.33059,0.32111,0.33259,0.3157,64393272.5
59,2019-07-23,0.32135,0.30891,0.32135,0.30572,63905860.1
60,2019-07-24,0.30877,0.31548,0.31905,0.30251,67739907.8
61,2019-07-25,0.31547,0.31335,0.323,0.31117,54892791.7
62,2019-07-26,0.31332,0.32303,0.32514,0.307,55029583.8
63,2019-07-27,0.32303,0.30965,0.32621,0.3054,64056737.5
64,2019-07-28,0.30966,0.31218,0.31478,0.3,42792457.7
65,2019-07-29,0.31217,0.31004,0.31478,0.306,39176999.0
66,2019-07-30,0.31004,0.31823,0.32213,0.30665,52340164.1
67,2019-07-31,0.31811,0.31959,0.32348,0.3151,48948448.5
68,2019-08-01,0.3195,0.31575,0.3199,0.3114,46026847.5
69,2019-08-02,0.31554,0.31178,0.31785,0.30836,43108296.3
70,2019-08-03,0.3117,0.31596,0.31747,0.31091,39924755.2
71,2019-08-04,0.31595,0.31813,0.32298,0.31181,52990179.1
