Date,Open,Close,High,Low,Volume
2018-10-02,6610,6525.79,6640,6494,28245.810088
2018-10-03,6525.79,6510,6549,6430,28451.969138
2018-10-04,6510.01,6593.79,6643.46,6505.09,20074.300818
2018-10-05,6591.69,6635.65,6697,6543.08,16096.552392
2018-10-06,6635.65,6594.27,6651,6566.77,10939.505391
2018-10-07,6596.44,6615.26,6640,6525,17406.831762
2018-10-08,6615.26,6673.01,6715.6,6587,23123.419541
2018-10-09,6673.01,6656.61,6685.38,6607,15354.779469
2018-10-10,6656.67,6631,6659.95,6530,15390.661444
2018-10-11,6630.21,6252.68,6633.92,6205,48712.400332
2018-10-12,6252.71,6298.01,6360,6209,29004.071419
2018-10-13,6298,6332.93,6345,6285.07,19098.070025
2018-10-14,6332.92,6339.34,6416,6308,15627.411314
2018-10-15,6339.34,6752.5,7680,6300,90748.031246
2018-10-16,6752.5,6759.27,6900,6670,27557.957764
2018-10-17,6762.76,6740.89,6811.12,6676.01,26641.431379
2018-10-18,6739.01,6618.96,6796,6567,20116.521941
2018-10-19,6618.96,6528.88,6648.14,6523,20772.60077
2018-10-20,6528.88,6588.4,6617.65,6505.55,19240.722247
2018-10-21,6585.72,6590.11,6663.9,6580,6515.357792
2018-10-22,6590.12,6581.2,6639,6535.27,16213.69266
2018-10-23,6581.2,6553.51,6595,6515.45,13856.601756
2018-10-24,6553.51,6565.5,6630,6547.53,11951.543977
2018-10-25,6566.81,6528.09,6575.09,6502.8,10342.701244
2018-10-26,6528.13,6538.63,6600,6515.01,9443.504156
2018-10-27,6538.63,6505.6,6558.35,6463.04,7776.907864
2018-10-28,6505.6,6489.93,6514.17,6453,5743.933728
2018-10-29,6489.93,6344.5,6505.01,6315,13827.224067
2018-10-30,6344.5,6330.87,6395,6317.01,8877.175385
2018-10-31,6330.01,6371.93,6428,6245.02,12148.888216
2018-11-01,6369.52,6410,6442.65,6348.66,9099.035841
2018-11-02,6410,6433.98,6460.34,6388.2,9739.440679
2018-11-03,6432.8,6387.09,6439.97,6345,7661.241476
2018-11-04,6388,6485.85,6525,6359,10592.394943
2018-11-05,6485.85,6468.99,6504.39,6431.02,8987.882156
2018-11-06,6468.99,6519.11,6531.31,6445.18,11926.565699
2018-11-07,6522.73,6578.46,6615.15,6509,14271.591117
2018-11-08,6578.46,6479.84,6594,6468.22,13259.789282
2018-11-09,6479.84,6419.99,6511.53,6391.01,11787.616583
2018-11-10,6419.99,6433.05,6475.55,6411,7714.829926
2018-11-11,6435.16,6449.81,6462.14,6355,8213.507117
2018-11-12,6450.71,6453.07,6497,6421,10132.782567
2018-11-13,6451.68,6457.66,6498,6391.15,11790.564933
2018-11-14,6458.98,5922.41,6482.84,5656.87,46478.964003
2018-11-15,5917.2,5753.4,5939.54,5403.42,47700.829401
2018-11-16,5757.09,5655.94,5782.89,5549.25,38721.802274
2018-11-17,5650.57,5628.29,5656.6,5565.43,26411.241413
2018-11-18,5630.49,5662,5738.17,5617,23844.999347
2018-11-19,5661.94,4910.03,5664,4855,70580.892856
2018-11-20,4913.4,4558.86,5048.24,4326,117380.95159
2018-11-21,4559.91,4661.07,4787.2,4413.85,61071.829475
2018-11-22,4661.08,4370,4721.77,4335,34531.119143
2018-11-23,4370.9,4420.61,4484,4222.94,49371.920322
2018-11-24,4415.63,3932.44,4527,3824.69,61693.111006
2018-11-25,3933.68,4085.78,4233,3652.66,101693.975588
2018-11-26,4088.69,3862.2,4206,3701,94503.750767
2018-11-27,3864.45,3875.21,3940,3689.12,67480.607212
2018-11-28,3875.63,4264.85,4394.47,3874.27,91983.567949
2018-11-29,4262.06,4295.84,4450.38,4125.65,73980.198669
2018-11-30,4295.72,4041.32,4341.36,3943,67758.446283
2018-12-01,4041.27,4190.02,4299.99,3963.01,44840.073481
2018-12-02,4190.98,4161.01,4312.99,4103.04,38912.15479
2018-12-03,4160.55,3884.01,4179,3827,49094.369163
2018-12-04,3884.76,3951.64,4085,3781,48489.551613
2018-12-05,3950.98,3769.84,3970,3745,44004.799448
2018-12-06,3768.44,3508.75,3899.99,3500,68378.796943
2018-12-07,3508.75,3403.55,3549.99,3224.6,95145.457442
2018-12-08,3403.57,3410.93,3495,3222,55365.949949
2018-12-09,3411.36,3545.37,3658,3394.04,45956.893296
2018-12-10,3548.49,3432.88,3610,3370.11,40989.244553
2018-12-11,3434.01,3380.39,3480,3324.32,35920.864154
2018-12-12,3379.23,3445,3492,3350,33922.931286
2018-12-13,3446.38,3302.06,3460,3255.5,40040.917013
2018-12-14,3302.06,3224.17,3335.39,3177,44492.983807
2018-12-15,3225.19,3211.72,3276.5,3156.26,29796.041436
2018-12-16,3211.71,3228.67,3294,3186,24628.808538
2018-12-17,3229.22,3509.08,3585,3216,66761.751697
2018-12-18,3509.03,3652.98,3678.59,3424.47,61369.615257
2018-12-19,3653,3662.22,3912.73,3622.55,94137.341014
2018-12-20,3660.01,4049.62,4120,3635,101543.835986
2018-12-21,4051.86,3838.66,4139.99,3764,82343.850112
2018-12-22,3840.25,3948.91,3979,3785,42822.350872
2018-12-23,3948.91,3929.71,4021.53,3870,40117.531529
2018-12-24,3929.71,4008.01,4198,3924.83,64647.809129
2018-12-25,4010.11,3745.79,4020,3646.41,62725.629432
2018-12-26,3745.56,3777.74,3837.15,3656.74,42629.375817
2018-12-27,3777.74,3567.91,3813.98,3535,44097.392912
2018-12-28,3567.89,3839.26,3887.25,3540.04,45964.304987
2018-12-29,3839,3695.32,3892,3670,38874.373903
2018-12-30,3696.71,3801.91,3903.5,3657.9,33222.369262
2018-12-31,3803.12,3702.9,3810,3630.33,29991.77835
2019-01-01,3701.23,3797.14,3810.16,3642,23741.687033
2019-01-02,3796.45,3858.56,3882.14,3750.45,35156.463369
2019-01-03,3857.57,3766.78,3862.74,3730,29406.948359
2019-01-04,3767.2,3792.01,3823.64,3703.57,29519.554671
2019-01-05,3790.09,3770.96,3840.99,3751,30490.667751
2019-01-06,3771.12,3987.6,4027.71,3740,36553.806709
2019-01-07,3987.62,3975.45,4017.9,3921.53,31869.846264
